County,County Code,Deaths,Population,Crude Rate/100k
"Laurens County, SC",45059,37,67883,54.5
"Starr County, TX",48427,35,64266,54.5
"Imperial County, CA",6025,98,180267,54.4
"Buchanan County, MO",29021,47,86530,54.3
"Tioga County, NY",36107,26,47904,54.3
"Greenville County, SC",45045,289,532486,54.3
"Washington County, WI",55131,74,136445,54.2
"Yolo County, CA",6113,119,219728,54.2
"Larimer County, CO",8069,195,360428,54.1
"Schenectady County, NY",36093,84,155358,54.1
"Hill County, TX",48217,20,37006,54
"Atlantic County, NJ",34001,142,262945,54
"Bryan County, GA",13029,22,40755,54
"Lenoir County, NC",37107,30,55720,53.8
"Ross County, OH",39141,41,76420,53.7
"Fresno County, CA",6019,536,1000918,53.6
"Washington County, UT",49053,99,184913,53.5
"Rockingham County, VA",51165,44,82346,53.4
"Franklin County, VA",51067,30,56167,53.4
"Sevier County, TN",47155,53,99244,53.4
"Spalding County, GA",13255,36,67414,53.4
"Colleton County, SC",45029,20,37481,53.4
"Marin County, CA",6041,137,257332,53.2
"Natrona County, WY",56025,43,80815,53.2
"Bradford County, PA",42015,32,60221,53.1
"Pickens County, SC",45077,68,127983,53.1
"Edgecombe County, NC",37065,27,50829,53.1
"Jefferson County, AL",1073,348,655342,53.1
"Stanislaus County, CA",6099,292,550081,53.1
"Escambia County, FL",12033,171,322364,53
"Madison County, KY",21151,50,94265,53
"Bartow County, GA",13015,58,109426,53
"La Porte County, IN",18091,58,109663,52.9
"Greene County, MO",29077,156,294997,52.9
"Wayne County, OH",39169,61,115694,52.7
"Waukesha County, WI",55133,214,406172,52.7
"Frederick County, VA",51069,48,91119,52.7
"Rowan County, NC",37159,75,142495,52.6
"Winnebago County, IL",17201,148,281295,52.6
"DeSoto County, MS",28033,99,188275,52.6
"Orange County, CA",6059,1665,3166857,52.6
"Wayne County, NC",37191,65,123967,52.4
"Macon County, IL",17115,54,103015,52.4
"Catawba County, NC",37035,84,160307,52.4
"Sonoma County, CA",6097,256,489819,52.3
"Clarion County, PA",42031,20,38305,52.2
"Hinds County, MS",28049,119,227966,52.2
"Beaufort County, SC",45013,102,195656,52.1
"Blair County, PA",42013,63,121007,52.1
"Yamhill County, OR",41071,56,107664,52
"Skagit County, WA",53057,68,130789,52
"Sutter County, CA",6101,50,96385,51.9
"Christian County, MO",29043,47,90655,51.8
"Hamilton County, OH",39061,424,817985,51.8
"Calaveras County, CA",6009,24,46308,51.8
"Pettis County, MO",29159,22,42490,51.8
"Bay County, MI",26017,53,102387,51.8
"Jefferson County, WI",55055,44,85038,51.7
"Kitsap County, WA",53035,141,272787,51.7
"Jefferson County, MO",29099,117,226543,51.6
"Harrison County, IN",18061,21,40682,51.6
"Coles County, IL",17029,26,50383,51.6
"Belmont County, OH",39013,34,65932,51.6
"Russell County, AL",1113,30,58237,51.5
"Catoosa County, GA",13047,35,67996,51.5
"Vance County, NC",37181,23,44718,51.4
"Maverick County, TX",48323,30,58378,51.4
"Tuolumne County, CA",6109,28,54515,51.4
"St. Croix County, WI",55109,47,91838,51.2
"Hunt County, TX",48231,51,99807,51.1
"Pennington County, SD",46103,59,115926,50.9
"Limestone County, AL",1083,52,102228,50.9
"Vermilion County, IL",17183,38,74855,50.8
"Providence County, RI",44007,323,636547,50.7
"Vigo County, IN",18167,54,106608,50.7
"Madison County, IL",17119,133,262635,50.6
"Clermont County, OH",39025,105,207449,50.6
"Ellis County, TX",48139,97,191760,50.6
